kepid;koi_disposition;koi_pdisposition;koi_score;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_sma;koi_teq;koi_model_snr
5025294;FALSE POSITIVE;FALSE POSITIVE;0.0000;5.462689263;1.2980;3.26050;4.1846e+03;36.25;0.0579;1024.0;82.60
5026187;FALSE POSITIVE;FALSE POSITIVE;0.1250;3.589666810;1.2090;18.53400;4.2130e+02;95.86;0.0554;2410.0;102.30
5031804;FALSE POSITIVE;FALSE POSITIVE;;1.373478670;0.9848;12.62000;2.8990e+02;4.25;0.0257;2505.0;27.20
5031882;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.009602350;0.9920;7.84700;3.1900e+01;1.94;0.0205;2885.0;12.50
5036516;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.060996585;1.1410;2.64940;4.1142e+04;64.99;0.0200;1968.0;339.50
5036530;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.735152701;0.9550;0.10460;2.8330e+02;3.27;0.0422;1679.0;4.70
5781192;FALSE POSITIVE;FALSE POSITIVE;0.0000;9.459993213;0.7430;5.30120;2.3760e+05;51.89;0.0853;766.0;3164.40
5802285;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.208524388;1.2590;1.84780;4.7596e+03;26.71;0.0203;1286.0;181.30
5802470;FALSE POSITIVE;FALSE POSITIVE;0.0000;3.791874430;0.7980;3.55210;2.3074e+05;47.49;0.0441;1004.0;1111.90
5807579;FALSE POSITIVE;FALSE POSITIVE;0.0000;17.844323157;0.7570;5.07999;2.2236e+05;90.67;0.1357;874.0;4456.60
5809372;FALSE POSITIVE;FALSE POSITIVE;0.9700;34.650636800;0.9730;10.28700;5.0250e+02;12.35;0.2561;1191.0;21.60
5860347;CANDIDATE;CANDIDATE;0.8310;2.562712320;0.3460;2.16300;2.9400e+01;0.48;0.0344;1171.0;8.20
5871918;FALSE POSITIVE;FALSE POSITIVE;0.0000;12.643303542;0.7390;5.48853;2.3672e+05;34.94;0.0883;443.0;2907.60
5894825;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.362939430;1.1300;10.32000;5.4400e+01;31.28;0.0276;2630.0;15.80
8374394;FALSE POSITIVE;FALSE POSITIVE;0.2290;185.103836000;0.0190;4.19000;5.8140e+02;14.63;0.6719;670.0;10.90
6706287;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.267693801;0.5890;3.57993;3.3364e+05;64.84;0.0215;1606.0;713.80
6715997;CANDIDATE;CANDIDATE;;15.081860000;0.7171;4.00400;8.1600e+01;0.98;0.1150;758.0;7.10
6763884;CANDIDATE;CANDIDATE;0.9710;2.446938230;0.6110;0.95400;2.6400e+01;0.56;0.0358;1379.0;9.00
6766748;FALSE POSITIVE;FALSE POSITIVE;0.0000;7.002865192;0.3580;5.90232;3.4970e+05;75.09;0.0767;1197.0;8168.60
6768616;CANDIDATE;CANDIDATE;0.9550;13.056090000;0.0970;3.49800;1.7080e+02;1.30;0.1078;814.0;10.80
6774408;FALSE POSITIVE;FALSE POSITIVE;;0.854509410;0.4204;3.72300;1.3700e+01;0.35;0.0169;1928.0;9.00
6778289;FALSE POSITIVE;FALSE POSITIVE;0.0000;30.130130001;0.6310;13.49190;2.8075e+05;83.75;0.2058;753.0;2583.70
6781047;FALSE POSITIVE;FALSE POSITIVE;0.0000;7.043576200;;15.76000;;;;;
